feature,mae_increase_mean,mae_increase_std
precipitation_sum_(mm),7.969601385933993,8.478925408056844
doy_cos_2,4.10742754255021,1.642967596705938
wind_speed_10m_max_(km/h),2.467542430332716,2.08821606770541
sales_roll_mean_21,2.46579807826449,2.5497170644255984
internal_events__promotions,1.923970685686362,1.530719921340102
doy_sin_2,0.8901453290666694,0.6629053236769307
sales_roll_std_7,0.7502894265310971,1.7820459690466328
doy_cos,0.2479654584612007,0.5789377625053124
sales_roll_mean_14,0.07105767386298681,0.9290029453420504
external_events__ormskirk_gingerbread_festival,-0.0,0.0
external_events__ormskirk_medieval_festival_coronation_park,-0.0,0.0
external_events__ormskirk_christmas_lights_switch_on,-0.0,0.0
external_events__grand_national,-0.0,0.0
holiday__bonfire_night,-0.0,0.0
holiday__boxing_day,-0.0,0.0
internal_events__quiz,-0.0,0.0
internal_events__student_social_night,-0.0,0.0
external_events__ormskirk_food_drink_festival_town_centre,-0.0,0.0
external_events__ormskirk_festival_summer_bank_holiday,-0.0,0.0
external_events__edge_hill_freshers_week,-0.0,0.0
closed,-0.0,0.0
holiday__valentine_s_day,-0.0,0.0
holiday__summer_bank_holiday,-0.0,0.0
holiday__st_patrick_s_day,-0.0,0.0
holiday__st_george_s_day,-0.0,0.0
holiday__spring_bank_holiday,-0.0,0.0
holiday__new_year_s_eve,-0.0,0.0
holiday__christmas_day,-0.0,0.0
holiday__christmas_eve,-0.0,0.0
holiday__mother_s_day,-0.0,0.0
holiday__new_year_s_day,-0.0,0.0
holiday__early_may_bank_holiday,-0.0,0.0
holiday__easter_monday,-0.0,0.0
holiday__easter_sunday,-0.0,0.0
holiday__father_s_day,-0.0,0.0
holiday__good_friday,-0.0,0.0
holiday__halloween,-0.0,0.0
doy_sin,-0.0,0.0
sales_roll_mean_7,-0.09913264683316356,0.9057459834886488
sales_roll_std_21,-0.6745392935616763,1.6300428286561877
internal_events__bingo,-0.6989232744489555,3.2110816867850995
internal_events__dj,-1.5454377310616791,0.6386233246507035
temperature_2m_mean_(°c),-2.2148072378976194,1.6235483914566267
sales_lag_21,-2.6708934783935745,4.762240970676722
sales_roll_std_14,-3.5677361624581607,1.5631389956754262
internal_events__karaoke,-3.733003016880599,3.781958495626547
sales_lag_1,-5.8882411956787255,4.276768924934963
internal_events__football_screening,-10.808816201346286,3.551791311333408
sales_lag_7,-13.858198656354645,5.5431940865759115
sales_lag_14,-17.442754690987734,8.103157665006083
dow_cos,-30.946695927211227,12.765819333975145
weekly_total,-92.97071702139718,23.785012545549282
dow_sin,-165.64135802132745,24.847679748720687
